ID_CLIENTE;CLIENTE;ENDERECO;CPF
46118837449;Valentina Andrade;Rua Fonseca, 240 - Belo Horizonte - MG;80349721699
7317856738;Carlos Emanuel;R. da Fábrica - Campinas - SP;59810352704
30780411749;Anderson Silva;R. Dias da Cruz, 183 - Rio de Janeiro - RJ;11111111111
81034342720;Renan Silva;Estr. dos Bandeirantes, 140 - Rio de Janeiro - RJ;22222222222
66631300720;Marcos Antonio;R. Alfredo Réis, 56 - Belo Horizonte - MG;33333333333
1058932401;João da Silva;Rua dos Flores, 123 - Brasília - DF;12345678901
2056473210;Maria Oliveira;Avenida Central, 456 - Goiânia - GO;98765432109
3059827364;Carlos Santos;Rua das Palmeiras, 789 - Campinas - SP;74185296302
4028376451;Ana Pereira;Alameda dos Bosques, 456 - Campo Grande - MS;85296374105
5082397169;Paulo Rodrigues;Rua dos Girassóis, 123 - Belo Horizonte - MG;36985214708
6089415723;Juliana Ferreira;Travessa dos Lírios, 789 - Salvador - BA;96385274103
7051928345;Lucas Almeida;Avenida das Acácias, 456 - Curitiba - PR;25874136902
8057329146;Fernanda Costa;Rua dos Cravos, 123 - São Paulo - SP;65412398706
9056712384;Gustavo Oliveira;Alameda das Hortênsias, 789 - Porto Alegre - RS;14725836901
1004397826;Larissa Silva;Rua das Rosas, 456 - Rio de Janeiro - RJ;36985214705
2053981762;Rodrigo Santos;Avenida dos Jasmins, 123 - Niterói - RJ;74185296307
3005712984;Sabrina Vieira;Rua das Margaridas, 789 - Santos - SP;85296374109
4019735628;Renato Pereira;Alameda das Tulipas, 456 - Brasília - DF;96385274106
5001862943;Camila Ferreira;Travessa das Orquídeas, 123 - Goiânia - GO;36985214708
6023819574;Diego Alves;Avenida dos Lírios, 789 - Campinas - SP;74185296301
7042958132;Amanda Oliveira;Rua das Violetas, 456 - Campo Grande - MS;85296374104
8051647293;Guilherme Rodrigues;Alameda dos Cravos, 123 - Belo Horizonte - MG;96385274107
9008354172;Letícia Costa;Rua das Margaridas, 789 - Salvador - BA;36985214705
1017283594;Marcelo Oliveira;Avenida das Rosas, 456 - Curitiba - PR;74185296308
2015489327;Isabela Santos;Rua dos Girassóis, 123 - São Paulo - SP;85296374101
3002549716;Victor Ferreira;Alameda das Orquídeas, 789 - Porto Alegre - RS;96385274104
4057129834;Carolina Almeida;Travessa dos Lírios, 456 - Rio de Janeiro - RJ;36985214707
5058219473;Pedro Costa;Avenida das Violetas, 123 - Niterói - RJ;74185296300
6063941825;Beatriz Rodrigues;Rua dos Jasmins, 789 - Santos - SP;85296374103
7061582394;Marcos Silva;Alameda dos Cravos, 456 - Brasília - DF;96385274106
8014659273;André Oliveira;Travessa das Margaridas, 123 - Goiânia - GO;36985214709
9018472536;Natália Santos;Avenida dos Girassóis, 789 - Campinas - SP;74185296302
1003649257;Gabriel Ferreira;Rua das Tulipas, 456 - Campo Grande - MS;85296374105
2015786439;Sophia Almeida;Alameda dos Lírios, 123 - Belo Horizonte - MG;96385274108
3002567198;Thiago Costa;Travessa das Violetas, 789 - Salvador - BA;36985214701
4001928473;Letícia Rodrigues;Avenida das Orquídeas, 456 - Curitiba - PR;74185296304
5061972384;Luiza Silva;Rua dos Cravos, 123 - São Paulo - SP;85296374107
6061582394;Marcos Oliveira;Alameda das Margaridas, 789 - Porto Alegre - RS;96385274100
1058932401;João da Silva;Rua dos Flores, 123 - Brasília - DF;12345678901
2056473210;Maria Oliveira;Avenida Central, 456 - Goiânia - GO;98765432109
3059827364;Carlos Santos;Rua das Palmeiras, 789 - Campinas - SP;74185296302
4028376451;Ana Pereira;Alameda dos Bosques, 456 - Campo Grande - MS;85296374105
5082397169;Paulo Rodrigues;Rua dos Girassóis, 123 - Belo Horizonte - MG;36985214708
6089415723;Juliana Ferreira;Travessa dos Lírios, 789 - Salvador - BA;96385274103
7051928345;Lucas Almeida;Avenida das Acácias, 456 - Curitiba - PR;25874136902
8057329146;Fernanda Costa;Rua dos Cravos, 123 - São Paulo - SP;65412398706
9056712384;Gustavo Oliveira;Alameda das Hortênsias, 789 - Porto Alegre - RS;14725836901
1004397826;Larissa Silva;Rua das Rosas, 456 - Rio de Janeiro - RJ;36985214705
2053981762;Rodrigo Santos;Avenida dos Jasmins, 123 - Niterói - RJ;74185296307
3005712984;Sabrina Vieira;Rua das Margaridas, 789 - Santos - SP;85296374109
4019735628;Renato Pereira;Alameda das Tulipas, 456 - Foz do Iguaçu - PR;96385274106
5001862943;Camila Ferreira;Travessa das Orquídeas, 123 - Recife - PE;36985214708
6023819574;Diego Alves;Avenida dos Lírios, 789 - Porto Velho - RO;74185296301
7042958132;Amanda Oliveira;Rua das Violetas, 456 - Campo Grande - MS;85296374104
8051647293;Guilherme Rodrigues;Alameda dos Cravos, 123 - Belo Horizonte - MG;96385274107
9008354172;Letícia Costa;Rua das Margaridas, 789 - Salvador - BA;36985214705
1017283594;Marcelo Oliveira;Avenida das Rosas, 456 - Curitiba - PR;74185296308
2015489327;Isabela Santos;Rua dos Girassóis, 123 - São Paulo - SP;85296374101
3002549716;Victor Ferreira;Alameda das Orquídeas, 789 - Rio Branco - AC;96385274104
4057129834;Carolina Almeida;Travessa dos Lírios, 456 - Rio de Janeiro - RJ;36985214707
5058219473;Pedro Costa;Avenida das Violetas, 123 - Niterói - RJ;74185296300
6063941825;Beatriz Rodrigues;Rua dos Jasmins, 789 - Santos - SP;85296374103
7061582394;Marcos Silva;Alameda dos Cravos, 456 - Brasília - DF;96385274106
8014659273;André Oliveira;Travessa das Margaridas, 123 - Goiânia - GO;36985214709
9018472536;Natália Santos;Avenida dos Girassóis, 789 - Campinas - SP;74185296302
1003649257;Gabriel Ferreira;Rua das Tulipas, 456 - Campo Grande - MS;85296374105
2015786439;Sophia Almeida;Alameda dos Lírios, 123 - Belo Horizonte - MG;96385274108
3002567198;Thiago Costa;Travessa das Violetas, 789 - Salvador - BA;36985214701
4001928473;Letícia Rodrigues;Avenida das Orquídeas, 456 - Curitiba - PR;74185296304
5061972384;Luiza Silva;Rua dos Cravos, 123 - São Paulo - SP;85296374107
6061582394;Marcos Oliveira;Alameda das Margaridas, 789 - Porto Alegre - RS;96385274100
7023849571;Clara Rodrigues;Travessa dos Girassóis, 456 - Rio de Janeiro - RJ;36985214703
8009237451;Rafael Ferreira;Avenida dos Lírios, 123 - Niterói - RJ;74185296306
9004721839;Carolina Almeida;Rua das Violetas, 789 - Santos - SP;85296374109
1008364259;Leonardo Costa;Alameda dos Cravos, 456 - Brasília - DF;96385274102
1012345678;João Silva;Rua das Flores, 123 - Brasília - DF;12345678901
2012345679;Maria Santos;Avenida Central, 456 - Goiás - GO;23456789012
3012345680;Pedro Oliveira;Rua dos Girassóis, 789 - Campinas - SP;34567890123
4012345681;Ana Costa;Alameda das Acácias, 456 - Campo Grande - MS;45678901234
5012345682;Lucas Pereira;Rua das Margaridas, 123 - Belo Horizonte - MG;56789012345
6012345683;Juliana Almeida;Avenida das Rosas, 789 - Salvador - BA;67890123456
7012345684;Rafael Rodrigues;Rua dos Cravos, 456 - Curitiba - PR;78901234567
8012345685;Mariana Alves;Alameda das Tulipas, 123 - São Paulo - SP;89012345678
9012345686;Gustavo Ferreira;Travessa das Orquídeas, 789 - Porto Alegre - RS;90123456789
1001234567;Fernanda Silva;Avenida dos Lírios, 456 - Rio de Janeiro - RJ;01234567890
1101234568;Diego Costa;Rua das Violetas, 123 - Niterói - RJ;11223344556
1201234569;Carolina Oliveira;Avenida dos Jasmins, 789 - Santos - SP;22334455667
1301234570;Pedro Almeida;Travessa dos Girassóis, 456 - Foz do Iguaçu - PR;33445566778
1401234571;Larissa Rodrigues;Rua das Margaridas, 789 - Recife - PE;44556677889
1501234572;Lucas Santos;Alameda dos Cravos, 123 - Porto Velho - RO;55667788990
1601234573;Amanda Oliveira;Rua das Tulipas, 456 - Rio Branco - AC;66778899001
1701234574;Rodrigo Almeida;Avenida das Orquídeas, 789 - Santa Terezinha de Itaipu - PR;77889900012
1801234575;Marina Silva;Travessa dos Lírios, 123 - Brasília - DF;88990001123
1901234576;Bruno Ferreira;Avenida dos Girassóis, 789 - Goiás - GO;99000111234
2001234577;Vanessa Costa;Rua das Margaridas, 456 - Campinas - SP;00111223345
2101234578;Fernando Oliveira;Alameda dos Cravos, 123 - Campo Grande - MS;11223344556
2201234579;Isabela Rodrigues;Travessa das Orquídeas, 789 - Belo Horizonte - MG;22334455667
2301234580;Lucas Santos;Avenida das Tulipas, 456 - Salvador - BA;33445566778
2401234581;Carolina Almeida;Rua dos Girassóis, 123 - Curitiba - PR;44556677889
2501234582;Gustavo Oliveira;Alameda das Rosas, 789 - São Paulo - SP;55667788990
2601234583;Mariana Costa;Travessa das Margaridas, 456 - Porto Alegre - RS;66778899001
2701234584;Pedro Silva;Avenida dos Cravos, 123 - Rio de Janeiro - RJ;77889900012
2801234585;Larissa Alves;Rua das Violetas, 789 - Niterói - RJ;88990001123
2901234586;Rafaela Ferreira;Alameda dos Jasmins, 456 - Santos - SP;99000111234
3001234587;Diego Costa;Travessa das Tulipas, 123 - Foz do Iguaçu - PR;00111223345
3101234588;Amanda Oliveira;Avenida das Margaridas, 789 - Recife - PE;11223344556
3201234589;Rodrigo Almeida;Rua dos Girassóis, 456 - Porto Velho - RO;22334455667
3301234590;Carolina Silva;Alameda das Orquídeas, 123 - Rio Branco - AC;33445566778
3401234591;Lucas Santos;Travessa dos Lírios, 789 - Santa Terezinha de Itaipu - PR;44556677889
